Window,Label,Max_Acc,Mean_Acc,Std_Acc,Max_Gyro,Mean_Gyro,Std_Gyro,Rep_Count,Smoothness
126,3,0.803957,0.32834,0.164408,2.853,0.662715,0.383517,4,0.0779661
127,3,0.832496,0.314808,0.177261,2.853,0.936478,0.514686,3,0.0829232
128,3,0.919762,0.311349,0.188409,2.11919,0.968354,0.458851,3,0.08695
129,3,0.990713,0.354662,0.219818,1.73642,0.769192,0.327119,4,0.0908808
130,3,0.990713,0.372327,0.221931,2.63374,0.978169,0.449817,3,0.100371
131,3,1.01261,0.336226,0.194364,2.63374,1.03704,0.419102,4,0.10256
132,3,1.01261,0.321003,0.167798,1.91914,0.840964,0.299744,5,0.0886831
133,3,0.82756,0.318472,0.160377,1.91914,0.723814,0.326908,5,0.0869261
134,3,1.19351,0.390418,0.230639,2.50226,0.90559,0.478092,4,0.115564
135,3,1.19351,0.386618,0.213613,2.32403,0.860832,0.438546,5,0.10351
136,3,1.22229,0.395255,0.208906,2.41396,1.09659,0.573037,3,0.101473
137,3,1.22229,0.379103,0.205515,2.42806,1.12872,0.574799,3,0.0933938
138,3,0.948017,0.386175,0.188303,3.18226,0.999688,0.522925,5,0.0796894
139,3,0.943852,0.369888,0.178107,3.18226,0.986635,0.556423,4,0.0777581
140,3,1.08387,0.375345,0.199362,3.09504,0.961957,0.43194,4,0.0937293
141,3,1.08387,0.40364,0.211043,2.0735,0.894204,0.332874,6,0.0921213
142,3,0.759267,0.365564,0.181146,1.86745,0.869121,0.395332,7,0.0857377
143,3,0.887332,0.365249,0.17461,1.92206,0.858167,0.421689,8,0.0899095
144,3,0.887332,0.338813,0.164739,2.77657,1.07684,0.561426,4,0.0807042
145,3,0.879977,0.369501,0.195434,2.77657,1.10575,0.543849,5,0.0763958
146,3,0.879977,0.358664,0.214538,2.47072,0.955804,0.447896,5,0.0739016
147,3,0.816782,0.324566,0.175158,2.00516,0.921339,0.431121,4,0.0745328
148,3,0.781634,0.339171,0.153813,1.86421,0.877994,0.329927,5,0.0740868
149,3,0.79054,0.33953,0.171397,1.62851,0.832154,0.316859,5,0.0735187
150,2,0.629897,0.295733,0.12434,2.03942,0.759867,0.449883,5,0.0453762
151,2,0.556659,0.283388,0.114567,1.82932,0.697343,0.43763,5,0.0429877
152,2,0.504543,0.296436,0.106522,2.3494,0.920924,0.589737,5,0.0402569
153,2,0.661783,0.305887,0.128452,2.3494,0.983365,0.540212,3,0.0458284
154,2,0.661783,0.306288,0.132229,2.41425,0.81431,0.421304,4,0.0573427
155,2,0.587757,0.290151,0.110598,2.41425,0.743512,0.445062,4,0.051149
156,2,0.586782,0.29201,0.114076,2.12447,0.762636,0.450996,4,0.04134
157,2,0.585547,0.298434,0.114896,2.12447,0.81769,0.454453,5,0.0439901
158,2,0.668258,0.314956,0.144208,1.7662,0.759617,0.428756,4,0.0443224
159,2,0.668258,0.29265,0.126693,1.96418,0.721039,0.457102,5,0.0419373
160,2,0.543947,0.301641,0.111847,2.48439,0.965846,0.588253,5,0.0372273
161,2,0.565476,0.299801,0.107187,2.48439,0.984511,0.536311,3,0.0373231
162,2,0.565476,0.273111,0.104721,1.60172,0.778464,0.345088,4,0.0378963
163,2,0.659944,0.28961,0.114615,1.60172,0.737114,0.379138,4,0.0424277
164,2,0.659944,0.278946,0.127252,1.69764,0.760665,0.363052,4,0.040336
165,2,0.500356,0.254938,0.123271,1.69764,0.793343,0.351414,4,0.0317872
166,2,0.469475,0.264629,0.11706,1.66942,0.68571,0.397585,5,0.0325222
167,2,0.663909,0.304221,0.12436,1.75066,0.900334,0.402865,3,0.0346907
168,2,0.781407,0.295933,0.133693,1.89195,0.775272,0.433954,5,0.0536898
169,2,0.781407,0.305484,0.127232,2.49597,0.962454,0.596713,5,0.0561768
170,2,0.580065,0.306389,0.118166,2.49597,0.987437,0.532731,3,0.0431655
171,2,0.580065,0.286985,0.108138,1.82238,0.713228,0.343981,4,0.0450099
172,2,0.575842,0.276957,0.11751,1.71853,0.664229,0.379226,3,0.0443071
173,2,0.618995,0.293651,0.137116,1.71853,0.787752,0.391982,3,0.0422066
174,2,0.693977,0.281856,0.131712,1.59094,0.813495,0.34634,4,0.0409852
175,2,0.843177,0.279441,0.136109,1.69417,0.771145,0.346407,3,0.0615301
176,5,0.0784551,0.0299254,0.0153394,0.275971,0.116726,0.064828,0,0.00234956
177,5,0.04349,0.0174987,0.00931399,0.109313,0.0542516,0.0216818,0,0.00176232
178,5,0.0241921,0.0112038,0.00464963,0.0757855,0.0388826,0.0157048,0,0.00175041
179,5,0.0372623,0.0120852,0.00694197,0.130554,0.0490983,0.0277881,0,0.00285581
180,5,0.0372623,0.0169221,0.00748611,0.130554,0.0515374,0.0315828,0,0.00302133
181,5,0.0322878,0.0140673,0.00729963,0.112702,0.0281948,0.0227192,0,0.00259396
182,5,0.023692,0.00863973,0.0047212,0.0498426,0.0152312,0.00950864,0,0.00220365
183,5,0.0170606,0.00625388,0.00330917,0.0250998,0.0114529,0.00502233,0,0.00137592
184,5,0.0215285,0.00672952,0.00371287,0.0331046,0.0117655,0.00672968,0,0.00248383
185,5,0.0215285,0.00754493,0.00390996,0.0331046,0.0115638,0.00667461,0,0.00248881
186,5,0.0205036,0.00622261,0.00343027,0.0209951,0.00886109,0.0043198,0,0.00175419
187,5,0.0205036,0.00596789,0.00307964,0.0300717,0.0104283,0.00657253,0,0.0016102
188,5,0.0145819,0.00709194,0.00297292,0.0677414,0.0212191,0.0161251,0,0.00141151
189,5,0.0183525,0.00766507,0.00350289,0.115195,0.0255484,0.0190451,0,0.00176058
190,5,0.10312,0.0437293,0.0326222,0.306242,0.148573,0.0609257,3,0.00225095
191,5,0.0464047,0.0132601,0.00662661,0.131498,0.0714374,0.0308784,0,0.00184898
192,5,0.0208228,0.00831251,0.00471495,0.0600404,0.0297158,0.0175026,0,0.00144681
193,5,0.0128322,0.00606916,0.00259044,0.0359875,0.0162993,0.00749838,0,0.00142658
194,5,0.0146751,0.00798097,0.00298096,0.0359875,0.0154452,0.00712151,0,0.00160767
195,5,0.0146751,0.00751953,0.00306073,0.0323145,0.0115453,0.00544347,0,0.00137361
196,5,0.0128595,0.00576093,0.00252308,0.0228331,0.0105925,0.00495353,0,0.00117813
197,5,0.0105476,0.00456778,0.00232705,0.0197197,0.00937497,0.0046107,0,0.00109515
198,5,0.0101653,0.00440581,0.00205189,0.0210581,0.00806163,0.00389969,0,0.00117671
199,5,0.0129025,0.00567593,0.00238263,0.0237229,0.0101983,0.00469728,0,0.00155105
200,5,0.0129025,0.00537155,0.00252549,0.0237229,0.0111353,0.0045531,0,0.00163921
201,5,0.0127254,0.00502765,0.00248681,0.0285186,0.0103383,0.00629251,0,0.00148253
202,4,0.238471,0.0589217,0.049259,0.251497,0.194143,0.0341131,0,0.00312967
203,4,0.0582888,0.0193788,0.0151419,0.201216,0.123103,0.0489618,1,0.00170756
204,4,0.0171242,0.00768128,0.00358727,0.124837,0.0542826,0.0315364,0,0.00203433
205,4,0.0169988,0.00564059,0.00298942,0.0486841,0.0185346,0.0122764,0,0.00222134
206,4,0.01577,0.0053818,0.00275521,0.0219027,0.0105554,0.00397342,0,0.00197515
207,4,0.0156383,0.00514914,0.00244031,0.0219027,0.0102869,0.00380397,0,0.00160127
208,4,0.0147786,0.00522079,0.00218192,0.0153505,0.00784647,0.00311985,0,0.00148335
209,4,0.0119033,0.00483253,0.00206967,0.0175637,0.00719769,0.00348594,0,0.00139638
210,4,0.0119033,0.00451982,0.00219677,0.0175637,0.00653542,0.00313027,0,0.0014822
211,4,0.0125284,0.00498759,0.00223702,0.0173362,0.00568711,0.00283277,0,0.00145172
212,4,0.0125284,0.00517839,0.00226867,0.0174035,0.0058581,0.00318261,0,0.00140829
213,6,0.0669032,0.0334178,0.0155488,0.409717,0.25518,0.0977389,3,0.00383626
214,6,0.0435264,0.0138526,0.0120406,0.262427,0.111382,0.0707393,3,0.00150318
215,6,0.014219,0.00490651,0.00264351,0.0958227,0.0338662,0.0256937,0,0.00161583
216,6,0.014219,0.00525006,0.00277436,0.0322187,0.0201847,0.00781874,0,0.0018152
217,6,0.0141334,0.0054095,0.00247768,0.0322187,0.0216299,0.0058362,0,0.0015786
218,6,0.0115186,0.00498147,0.00217758,0.0310447,0.0172763,0.00370099,0,0.00134458
219,6,0.0160304,0.0050447,0.00253288,0.0243845,0.0137062,0.00461881,0,0.0014896
220,6,0.0160304,0.00522837,0.00266292,0.0204114,0.00916562,0.00403265,0,0.00168366
221,6,0.0112742,0.00513064,0.00223853,0.0239614,0.00927973,0.00435067,0,0.00149873
222,6,0.0106036,0.00492407,0.0020809,0.0239614,0.00892838,0.00435586,0,0.00129348
223,6,0.0132201,0.00489464,0.00239114,0.0164233,0.0082497,0.00365034,0,0.00146493
224,6,0.0132201,0.00494958,0.00236198,0.0231876,0.008266,0.00369001,0,0.00135172
225,4,0.144249,0.0581547,0.0445495,0.507698,0.358374,0.0764442,2,0.00283038
226,4,0.031326,0.0174182,0.00674405,0.388551,0.220808,0.0842848,0,0.00196282
227,4,0.0278553,0.011508,0.00443479,0.218056,0.094889,0.0617024,0,0.00195491
228,4,0.0196177,0.00827994,0.00360976,0.0784225,0.0303603,0.0190187,0,0.00151456
229,4,0.0196177,0.00616163,0.00317575,0.0398374,0.0201318,0.00896658,0,0.00197755
230,4,0.0175205,0.00688241,0.00318907,0.0327271,0.0173531,0.00574298,0,0.00188731
231,4,0.0166205,0.006809,0.00300918,0.0298567,0.0157968,0.00562257,0,0.0013596
232,4,0.0120061,0.00541023,0.00225751,0.0298567,0.0116793,0.00771712,0,0.0011769
233,4,0.0120061,0.0057567,0.00260294,0.0161787,0.00749703,0.00343461,0,0.00119037
234,4,0.0118135,0.00607923,0.00242728,0.0199093,0.00880767,0.00382096,0,0.000990784
235,4,0.0142099,0.00670599,0.00276845,0.0199093,0.00856335,0.00385798,0,0.00103085
236,4,0.0206713,0.00795385,0.00328417,0.219923,0.0165513,0.0302632,0,0.00136995
237,6,0.69984,0.335604,0.164277,2.80326,0.601091,0.542906,2,0.0265739
238,6,0.69984,0.181597,0.190054,1.97511,0.276635,0.277324,2,0.0217015
239,6,0.0775909,0.0354177,0.0173048,0.546537,0.170251,0.111599,1,0.00360629
240,6,0.159607,0.0605902,0.041908,0.546537,0.161837,0.141374,1,0.00404858
241,6,0.159607,0.0495026,0.0464019,0.458992,0.0907266,0.105358,1,0.00334677
242,6,0.0409141,0.0148809,0.00913268,0.124134,0.033955,0.0212524,0,0.00185455
243,6,0.0265789,0.0122977,0.00437296,0.0575423,0.0298641,0.0144706,0,0.0016992
244,6,0.0265789,0.0127638,0.00454706,0.0563502,0.0228291,0.0118819,0,0.00172243
245,6,0.14867,0.0352677,0.0415719,0.195036,0.0703713,0.0640927,1,0.00253452
246,6,0.14867,0.0645455,0.045985,0.195036,0.0902281,0.0492948,1,0.00266848
247,6,0.148461,0.0479779,0.0380336,0.0948322,0.0534133,0.0197287,1,0.00219666
248,1,0.708872,0.252995,0.123708,1.70355,0.689598,0.389797,3,0.055509
249,1,0.743748,0.264603,0.137459,2.03112,0.701899,0.397554,3,0.0744025
250,1,0.743748,0.267151,0.134026,2.03112,0.707476,0.390773,3,0.0668057
251,1,0.654984,0.283147,0.136856,1.78402,0.707155,0.392964,4,0.060423
252,1,0.654984,0.279447,0.138669,1.87378,0.742417,0.427727,5,0.0620952
253,1,0.703906,0.273783,0.133774,1.87378,0.751781,0.433802,4,0.0636886
254,1,0.703906,0.283201,0.144894,1.86597,0.761286,0.428817,4,0.0679306
255,1,0.682655,0.262248,0.139937,1.92857,0.73445,0.439542,4,0.0592523
256,1,0.680539,0.286243,0.130772,1.70955,0.759903,0.409024,4,0.0595453
257,1,0.785729,0.305897,0.150176,1.70955,0.805141,0.424744,4,0.0709414
258,1,0.785729,0.29608,0.142852,1.68041,0.804397,0.396212,5,0.0683804
259,1,0.63472,0.276666,0.125557,1.62148,0.720003,0.400219,4,0.0601628
260,1,0.697406,0.284357,0.136084,1.85364,0.697397,0.431195,4,0.0676121
261,1,0.697406,0.297967,0.142967,1.85364,0.742066,0.414789,5,0.0658682
262,1,0.741157,0.291559,0.141661,1.5462,0.733419,0.383136,5,0.0672932
263,1,0.741157,0.293556,0.14218,1.9389,0.766156,0.414739,4,0.0763134
264,1,0.728381,0.302905,0.147574,1.9389,0.780928,0.463238,4,0.0837607
265,1,0.728381,0.283459,0.152374,1.92364,0.743345,0.421719,4,0.0714075
266,1,0.69924,0.279061,0.14416,1.77789,0.770915,0.389794,5,0.0585218
267,1,0.829948,0.31205,0.149197,2.18621,0.861161,0.471269,4,0.0769805
268,1,0.829948,0.316893,0.152889,2.28791,0.916283,0.529479,3,0.0834977
269,1,0.865343,0.293241,0.164119,2.01789,1.02176,0.469597,3,0.0991733
270,1,0.787081,0.285504,0.14103,2.00536,0.947896,0.486903,3,0.0651627
271,1,0.744652,0.304138,0.154194,2.31757,0.805586,0.498374,5,0.0717465
272,1,0.759769,0.308558,0.167857,2.31757,0.818533,0.488676,5,0.0829195
273,1,0.759769,0.296156,0.158598,2.15311,0.834333,0.466941,4,0.0869335
274,1,0.860431,0.291259,0.154335,2.15311,0.789531,0.451051,4,0.0839236
275,1,0.860431,0.283054,0.155563,1.91389,0.756462,0.421397,4,0.0734965
276,1,0.709341,0.279965,0.145247,1.91389,0.754997,0.403974,4,0.0634931
277,1,0.764023,0.293367,0.149379,1.88622,0.78982,0.454239,4,0.0811934
278,1,0.764023,0.285932,0.157393,1.88622,0.77569,0.469581,5,0.0824283
279,1,0.750605,0.268794,0.142481,1.62084,0.726735,0.396691,4,0.064217
280,1,0.750605,0.278991,0.139016,1.74162,0.722305,0.4125,4,0.0748549
281,1,0.739522,0.268442,0.132505,1.74162,0.708681,0.430043,4,0.0729356
282,1,0.852086,0.296451,0.15097,2.03225,0.853909,0.455694,4,0.0748167
283,1,0.852086,0.302865,0.154601,2.15711,0.818392,0.484751,4,0.0765482
284,1,0.794151,0.285701,0.155627,2.15711,0.783309,0.465814,4,0.0660795
285,1,0.72298,0.266138,0.144347,1.88221,0.742488,0.404102,4,0.0612226
286,1,0.741438,0.27192,0.142629,1.71724,0.731541,0.397996,4,0.0722141
287,1,0.781092,0.283729,0.152816,1.83337,0.76451,0.425855,4,0.0773741
288,1,0.781092,0.312746,0.163083,2.12148,0.84868,0.469214,4,0.0770425
289,1,0.857883,0.32117,0.167265,2.12148,0.884365,0.454323,5,0.0912463
290,1,0.857883,0.316066,0.158747,1.88918,0.849538,0.434333,4,0.0915712
291,1,0.718677,0.311185,0.14859,1.97684,0.805818,0.46047,4,0.0751726
292,1,0.829788,0.322438,0.164886,2.72855,0.841324,0.50448,5,0.084139
293,1,0.829788,0.316002,0.159118,2.72855,0.87827,0.503319,6,0.0846008
294,1,0.626686,0.275367,0.13633,1.90646,0.824094,0.446593,4,0.0656909
295,1,0.688416,0.270041,0.147079,1.85713,0.788691,0.432438,4,0.0624489
296,3,0.805692,0.307317,0.181362,1.43894,0.626829,0.26808,5,0.0625018
297,3,0.947564,0.329114,0.182571,1.53419,0.703695,0.301783,5,0.0842237
298,3,1.05827,0.318358,0.198877,3.13765,0.935404,0.507423,5,0.0885766
299,3,1.05827,0.377077,0.212433,3.13765,1.01208,0.499373,5,0.0989163
300,3,0.911221,0.339504,0.201551,2.18075,0.934712,0.423525,3,0.0902314
301,3,0.911221,0.329689,0.184395,1.92549,0.847581,0.330908,4,0.0775745
302,3,0.891555,0.370604,0.188931,1.69911,0.801898,0.301668,4,0.0790787
303,2,0.590325,0.299142,0.119597,1.79593,0.922155,0.352131,5,0.0381353
304,2,0.632482,0.294707,0.126027,1.76497,0.787981,0.420892,4,0.0452101
305,2,0.632482,0.309141,0.124674,3.13437,1.04018,0.747098,4,0.0479489
306,2,0.599606,0.311108,0.116747,3.13437,1.05463,0.724875,5,0.0415356
307,2,0.571991,0.320286,0.116535,1.9848,0.846737,0.422809,4,0.0421252
308,2,0.664867,0.325596,0.12071,1.9848,0.884467,0.432722,2,0.0494259
309,2,0.664867,0.311617,0.132647,1.88346,0.861188,0.419176,3,0.048596
310,2,0.744998,0.293449,0.138041,1.91764,0.898092,0.410339,5,0.0508074
311,2,0.744998,0.292475,0.141721,1.91764,0.859481,0.421604,4,0.050622
312,2,0.662237,0.335732,0.146712,1.91204,0.875064,0.449509,3,0.0441705
